unique_id,year,team,games,o_pts_pg,o_ty_pg,o_py,o_ry,o_fd_g,o_3rdm,o_3rdpct,o_4thm,o_4thpct,o_pen,o_penyds,o_top,d_pts_pg,d_ty_pg,d_py,d_ry,d_int,d_inttd,stp_n,stp_avg,str_pr,str_pr_yds,str_pr_avg,str_kr,str_kr_yds,str_kr_avg
2011_Florida St.,2011,Florida St.,12,31.7,375.8,257.6666667,118.0833333,19.4,56,40.3,2,33.3,8.166666667,69.25,1.018055556,15.2,274.6,192.75,81.83333333,1.083333333,0.083333333,4.083333333,47,3.166666667,33.25,10.5,2.416666667,57.83333333,23.9
2011_Temple,2011,Temple,12,30.1,379.9,123.25,256.6666667,18.5,73,45.1,9,47.4,5.083333333,42.08333333,1.051388889,13.8,315.5,192.9166667,122.5833333,1,0,3.833333333,46.8,1.75,19.83333333,11.3,2.75,73.16666667,26.6
2011_Oklahoma St.,2011,Oklahoma St.,12,49.3,557,386.25,170.75,26.8,86,50,6,46.2,5.916666667,54.25,0.413888889,25.8,445.7,265.5833333,180.0833333,1.916666667,0.083333333,3.583333333,46.7,1.75,5.416666667,3.1,3.833333333,82.16666667,21.4
2011_Idaho,2011,Idaho,12,20.3,301.5,188.25,113.25,15.6,54,29.2,9,56.3,6.333333333,59.5,1.226388889,33.3,436.8,278.25,158.5833333,0.75,0.166666667,7.333333333,46.4,1.5,22.16666667,14.8,5.416666667,109.3333333,20.2
2011_Louisiana Tech,2011,Louisiana Tech,12,30.6,397.5,247.0833333,150.4166667,20.2,74,36.8,10,58.8,6.916666667,63.75,1.034722223,22.5,374.8,252.6666667,122.1666667,1.666666667,0.416666667,6.666666667,46.1,2.166666667,21.75,10,4,87.33333333,21.8
2011_UTEP,2011,UTEP,12,26.6,380.5,225.5833333,154.9166667,19.8,63,38.9,14,63.6,4.583333333,41,1.186111111,30.3,441.5,251.6666667,189.8333333,1,0.083333333,4,46.1,1.833333333,18.33333333,10,4.166666667,109.1666667,26.2
2011_Arizona,2011,Arizona,12,30.8,465.3,370.75,94.5,25.8,71,43.3,14,53.8,7.916666667,65.5,0.968055556,35.4,460.5,298.9166667,161.5833333,0.916666667,0.25,3.333333333,46,1.083333333,5.5,5.1,4.75,99.91666667,21
2011_Oregon,2011,Oregon,13,46.2,515.2,219.5384615,295.6923077,24.4,76,44.7,13,43.3,7.230769231,65.69230769,0.802564102,23.6,381,243.5384615,137.4615385,1.230769231,0.230769231,3.461538462,45.8,2.461538462,23.92307692,9.7,4.076923077,99.61538462,24.4
2011_Bowling Green,2011,Bowling Green,12,26.5,384.5,261.5833333,122.9166667,19.5,59,35.8,8,32,4.833333333,42.08333333,0.972222223,28.8,406,202.5833333,203.4166667,0.5,0,4.75,45.3,1.666666667,9.666666667,5.8,4.833333333,105.9166667,21.9
2011_Arkansas,2011,Arkansas,12,37.4,445.8,307.75,138.0833333,22.2,70,41.9,11,73.3,6.166666667,45.83333333,0.754166667,22.8,371.4,197.0833333,174.3333333,0.916666667,0,4.083333333,45.2,2.333333333,29.83333333,12.8,3.25,75.25,23.2
2011_Nebraska,2011,Nebraska,12,30.5,390.5,166.5833333,223.9166667,20.7,79,43.6,8,53.3,6.333333333,52.5,0.940277778,22.8,350.7,189.0833333,161.5833333,0.833333333,0,4.5,45,1.416666667,11.66666667,8.2,3.583333333,90.66666667,25.3
2011_Missouri,2011,Missouri,12,32.2,472.4,236.1666667,236.25,24.1,63,37.3,10,58.8,5.333333333,45.33333333,0.886111111,23.5,382.3,247.25,135,1,0,5.083333333,45,1.583333333,14.08333333,8.9,3.416666667,72.5,21.2
2011_California,2011,California,12,29.8,418.3,251.8333333,166.5,22,66,40.5,8,34.8,7.75,74.25,1.094444444,24.4,339.4,209.4166667,130,1,0.083333333,3.833333333,44.6,1.75,7.5,4.3,3.916666667,77.58333333,19.8
2011_Georgia,2011,Georgia,13,32.2,413.8,241.1538462,172.6923077,21.6,87,43.5,11,57.9,6.230769231,49.92307692,0.769230769,19.6,268.5,165.0769231,103.3846154,1.307692308,0.076923077,3.923076923,44.3,1.923076923,12.84615385,6.7,3.230769231,72.38461538,22.4
2011_UCLA,2011,UCLA,13,23.8,388.8,198.0769231,190.6923077,19,60,36.4,10,43.5,6.846153846,62.38461538,0.973076923,32.2,424.2,232.6153846,191.5384615,1,0.076923077,4.307692308,44.1,1.076923077,4.615384615,4.3,4.769230769,100.1538462,21
2011_Washington,2011,Washington,12,31.5,392.3,240.3333333,152,20.7,70,44.9,6,50,6.416666667,63.16666667,1.122222223,33.3,426.3,283.75,142.5833333,0.833333333,0,4,44.1,1.583333333,11.75,7.4,5.5,130.25,23.7
