year,sos_rank,team,sos
2003,1,Oklahoma,34.9
2003,2,Kansas St.,34.8
2003,3,Georgia,33.8
2003,4,Florida,33.7
2003,5,Florida St.,33.7
2003,6,LSU,32.7
2003,7,N.C. State,32.5
2003,8,Texas Tech,32.2
2003,9,Ohio St.,31.9
2003,10,Iowa,31.8
2003,11,Nebraska,31.5
2003,12,Michigan St.,31.2
2003,13,Auburn,31.2
2003,14,Texas,31.1
2003,15,Michigan,30.7
2003,16,Wisconsin,30.5
2003,17,Alabama,30.4
2003,18,Miami (FL),30.4
2003,19,Virginia,30.4
2003,20,Maryland,30.3
2003,21,Clemson,30.2
2003,22,Mississippi,30.1
2003,23,Virginia Tech,30
2003,24,Purdue,30
2003,25,Arkansas,29.9
2003,26,Georgia Tech,29.8
2003,27,Oklahoma St.,29.7
2003,28,Oregon St.,29.7
2003,29,Iowa St.,29.7
2003,30,South Carolina,29.6
2003,31,Boston Coll.,29.3
2003,32,Texas A&M,29.3
2003,33,Pittsburgh,29.1
2003,34,Missouri,29
2003,35,Wake Forest,28.9
2003,36,Notre Dame,28.9
2003,37,Syracuse,28.8
2003,38,Duke,28.7
2003,39,Mississippi St.,28.6
2003,40,Baylor,28.4
2003,41,Colorado,28.3
2003,42,Minnesota,28.1
2003,43,BYU,28.1
2003,44,Temple,28
2003,45,Arizona,28
2003,46,Penn St.,28
2003,47,Washington St.,27.9
2003,48,Tennessee,27.8
2003,49,Rutgers,27.7
2003,50,Vanderbilt,27.5
2003,51,Washington,27.4
2003,52,West Virginia,27.3
2003,53,California,27.2
2003,54,Colorado St.,27.1
2003,55,Northwestern,27.1
2003,56,Oregon,27
2003,57,Illinois,27
2003,58,UCLA,26.9
2003,59,Stanford,26.8
2003,60,Bowling Green,26.7
2003,61,North Carolina,26
2003,62,USC,25.9
2003,63,Air Force,25.7
2003,64,San Diego St.,25.6
2003,65,Utah,25.5
2003,66,Wyoming,25.3
2003,67,New Mexico,25.3
2003,68,Kentucky,25
2003,69,UNLV,25
2003,70,Arizona St.,24.7
2003,71,Indiana,24.5
2003,72,Kansas,24.4
2003,73,Nevada,24.3
2003,74,Miami (OH),24
2003,75,Connecticut,24
2003,76,Hawaii,23.5
2003,77,Fresno St.,22.9
2003,78,Louisiana Tech,22.5
2003,79,Marshall,22.4
2003,80,Ball St.,22.3
2003,81,Boise St.,22.1
2003,82,Texas-El Paso,22
2003,83,Cincinnati,22
2003,84,Tulsa,21.8
2003,85,Toledo,21.7
2003,86,Army,21.5
2003,87,SMU,21.3
2003,88,Rice,21.2
2003,89,San Jose St.,21.1
2003,90,Buffalo,20.7
2003,91,Ohio,20.6
2003,92,Southern Miss,20.6
2003,93,UAB,20.3
2003,94,W. Michigan,20.2
2003,95,Tulane,20.2
2003,96,South Florida,20.1
2003,97,East Carolina,20.1
2003,98,TCU,20
